corruption_frac,cosine_similarity,relative_l2
0.0,0.9999977946281433,0.0021081254817545414
0.001,0.9998260736465454,0.01865844987332821
0.005,0.9991438984870911,0.0414264090359211
0.01,0.9980847239494324,0.06202271580696106
0.02,0.9962405562400818,0.08702004700899124
