fraction,cosine,top10_overlap
0.005,-0.18849366903305054,0.0
0.01,-0.18849366903305054,0.0
0.02,-0.26636719703674316,0.0
0.05,-0.32816803455352783,0.0
0.1,-0.34918370842933655,0.0
0.2,0.3219568431377411,0.0
0.4,0.031167836859822273,0.0
0.6,0.5925171375274658,0.1
0.8,0.7422873973846436,0.3
1.0,0.9999974966049194,1.0
